ApplicationID,SubmissionDate,ApplicantType,Country,Age,ApplicationType,DocumentStatus,PaymentStatus,PaymentAmount,PaymentMethod,PaymentDate,PaymentQuarter,ProcessingStage,DaysToProcess,DataCheckStatus,MissingInfoFlag,AssignedTeam
APP-100000,2024-09-24 11:04:22.847060,UK,United Kingdom,25.0,FQ RESTO,Complete,Paid,117.5,Bank Transfer,2024-10-04 11:04:22.847060,Q4,Submitted,0,Fail,No,Team C
APP-100001,2024-06-27 11:04:22.847060,International,Canada,59.0,Student Registration,Complete,Paid,35.0,PayPal,2024-07-06 11:04:22.847060,Q3,Completed,4,Pass,No,Team A
APP-100002,2025-03-10 11:04:22.847060,International,China,45.0,Fully Qualified,Incomplete,Pending,282.0,Bank Transfer,2025-03-24 11:04:22.847060,Q1,Completed,3,Pass,Yes,Team B
APP-100003,2025-02-07 11:04:22.847060,UK,United Kingdom,48.0,Student Registration,Complete,Pending,35.0,Bank Transfer,2025-02-27 11:04:22.847060,Q1,Submitted,0,Pass,No,Team A
APP-100004,2025-01-16 11:04:22.847060,UK,United Kingdom,26.0,Student Registration,Complete,Paid,35.0,PayPal,2025-02-02 11:04:22.847060,Q1,Withdrawn,0,Pass,No,Team A
APP-100005,2024-10-22 11:04:22.847060,UK,United Kingdom,46.0,Fully Qualified,Complete,Paid,70.5,Bank Transfer,2024-11-07 11:04:22.847060,Q4,In Review,4,Fail,No,Team A
APP-100006,2024-09-14 11:04:22.847060,UK,United Kingdom,31.0,Student Registration,Incomplete,Paid,35.0,Bank Transfer,2024-09-29 11:04:22.847060,Q3,Submitted,0,Pass,Yes,Team B
APP-100007,2024-08-30 11:04:22.847060,International,Australia,57.0,Student Registration,Complete,Pending,35.0,PayPal,2024-09-27 11:04:22.847060,Q3,Completed,6,Pass,No,Team A
APP-100008,2025-08-08 11:04:22.847060,UK,United Kingdom,58.0,STUDENT RESTO,Complete,Paid,35.0,PayPal,2025-09-07 11:04:22.847060,Q3,Completed,10,Pass,No,Team B
APP-100009,2024-07-04 11:04:22.847060,International,Australia,39.0,Fully Qualified,Complete,Paid,141.0,Bank Transfer,2024-07-08 11:04:22.847060,Q3,Completed,5,Pass,No,Team C
APP-100010,2024-07-02 11:04:22.847060,UK,United Kingdom,28.0,Fully Qualified,Complete,Pending,141.0,PayPal,2024-07-29 11:04:22.847060,Q3,Submitted,0,Pass,No,Team A
APP-100011,2024-09-05 11:04:22.847060,International,China,40.0,Student Registration,Incomplete,Paid,35.0,PayPal,2024-09-21 11:04:22.847060,,In Review,9,Pass,Yes,Team B
APP-100012,2025-01-11 11:04:22.847060,International,Nigeria,18.0,Student Registration,Incomplete,Paid,35.0,PayPal,2025-01-25 11:04:22.847060,Q1,Completed,7,Pass,Yes,Team B
APP-100013,2025-01-26 11:04:22.847060,UK,United Kingdom,54.0,FQ RESTO,Complete,Paid,470.0,Bank Transfer,2025-02-03 11:04:22.847060,Q1,In Review,17,Pass,No,Team A
APP-100014,2025-11-01 11:04:22.847060,UK,United Kingdom,38.0,Student Registration,Incomplete,Paid,35.0,Bank Transfer,2025-11-07 11:04:22.847060,Q4,,8,Pass,Yes,Team C
